"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Kris Humphries",26.3,8.7,4,26.3,8.7
"made","Kris Humphries",27.6,8,4,27.6,8
"made","Sundiata Gaines",37.2,18.8,18,37.2,18.8
"made","MarShon Brooks",8.4,6.2,17,8.4,6.2
"made","John Wall",27.3,86.7,3,22.7,7.3
"made","Chris Singleton",47.5,88.9,23,2.5,5.09999999999999
"made","Roger Mason Jr.",45.1,78,23,4.9,16
"made","Kris Humphries",42.7,9.4,18,42.7,9.4
"made","Anthony Morrow",34.3,21.4,19,34.3,21.4
"made","Damion James",27.4,6.7,3,27.4,6.7
"made","Nick Young",16.1,75.3,16,33.9,18.7
"made","Anthony Morrow",36.2,14.4,15,36.2,14.4
"made","Deron Williams",45.2,24.4,28,45.2,24.4
"made","Nick Young",25.4,71.5,18,24.6,22.5
"made","Johan Petro",24.3,21.2,16,24.3,21.2
"made","Anthony Morrow",47.8,12.5,24,47.8,12.5
"made","Jordan Crawford",7.9,84.8,18,42.1,9.2
"made","Boris Diaw",25.2,88.7,0,24.8,5.3
"made","Andrew Bogut",23.8,6.1,2,23.8,6.1
"made","D.J. Augustin",41.8,83.5,18,8.2,10.5
"made","Gerald Henderson",25.9,88.6,1,24.1,5.40000000000001
"made","DJ White",26.2,89,1,23.8,5
"made","Andrew Bogut",13.6,7.6,12,13.6,7.6
"made","Gerald Henderson",36.8,74.1,19,13.2,19.9
"made","DJ White",25.2,87,2,24.8,7
"made","Brandon Jennings",24.4,5.6,1,24.4,5.6
"made","Andrew Bogut",25.2,8.7,4,25.2,8.7
"made","Mike Dunleavy",1.3,5.3,24,1.3,5.3
"made","Brandon Jennings",25.2,8,3,25.2,8
"made","Gerald Henderson",24.8,80.2,9,25.2,13.8
"made","Corey Maggette",23.7,83.7,5,26.3,10.3
"made","Gerald Henderson",37.9,75.5,19,12.1,18.5
"made","Shaun Livingston",23,6.5,2,23,6.5
"made","Drew Gooden",24.3,6.5,2,24.3,6.5
"made","Beno Udrih",26.1,7.2,2,26.1,7.2
